"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/06/2022","AQS","240050009","4","36.6","ppb","34","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/07/2022","AQS","240050009","4","31.9","ppb","29","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/08/2022","AQS","240050009","4","32.8","ppb","30","Baltimore County Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/09/2022","AQS","240050009","4","34","ppb","32","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/10/2022","AQS","240050009","4","37.6","ppb","35","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/11/2022","AQS","240050009","4","35.4","ppb","33","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/12/2022","AQS","240050009","4","33.4","ppb","31","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/13/2022","AQS","240050009","4","28.2","ppb","26","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/14/2022","AQS","240050009","4","28.5","ppb","26","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"02/15/2022","AQS","240050009","4","39.1","ppb","37","Baltimore County Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
